bridge_id,bridge_name,road_name,condition,length,is_broken,total_wait_time
1,Box Culvert,N1,Unknown,8.000000000000007,False,0.0
5,Box culvert,N1,A,870.0000000000001,False,0.0
14,Kachpur bridge,N1,Unknown,418.000000000001,False,0.0
15,Bridge end,N1,A,73.99999999999984,False,0.0
19,Box culvert,N1,B,347.999999999999,False,0.0
20,Box culvert,N1,A,414.0000000000015,False,0.0
21,Box culvert,N1,A,125.99999999999945,False,0.0
23,Box culvert,N1,A,428.0000000000008,False,0.0
24,Box culvert,N1,A,183.9999999999993,False,0.0
26,Bridge start,N1,A,26.000000000001577,False,0.0
27,Bridge end,N1,A,164.99999999999915,False,0.0
30,Box culvert,N1,A,851.9999999999985,False,0.0
33,Box culvert,N1,Unknown,960.9999999999984,False,0.0
36,Langalbandhu bridge,N1,Unknown,160.00000000000014,False,0.0
37,Bridge end,N1,Unknown,121.99999999999989,False,0.0
39,Bridge start,N1,C,21.0000000000008,False,0.0
40,Bridge end,N1,C,352.00000000000034,False,0.0
41,Bridge start,N1,A,30.000000000001137,False,0.0
42,Bridge end,N1,A,289.99999999999915,False,0.0
44,Bridge start,N1,B,41.00000000000037,True,108286.88986944554
45,Bridge end,N1,A,620.000000000001,False,0.0
47,Box culvert,N1,C,643.0000000000007,True,6739.399154471489
48,Box culvert,N1,B,3.0000000000001137,False,0.0
51,Bridge start,N1,B,100.00000000000142,False,0.0
52,Bridge end,N1,B,82.00000000000074,False,0.0
54,Box culvert,N1,A,130.00000000000256,False,0.0
56,Bridge start,N1,B,227.999999999998,False,0.0
57,Bridge end,N1,B,259.00000000000034,False,0.0
58,Bridge start,N1,B,121.99999999999989,False,0.0
59,Bridge end,N1,B,255.00000000000256,False,0.0
61,Meghna  bridge,N1,A,65.00000000000128,False,0.0
63,Bridge end,N1,A,126.00000000000122,False,0.0
66,Box culvert,N1,A,673.9999999999995,False,0.0
67,Box culvert,N1,A,316.0000000000025,False,0.0
69,Bridge start,N1,A,126.00000000000122,False,0.0
71,Bridge end,N1,A,656.0000000000024,False,0.0
72,Bridge start,N1,A,38.999999999997925,True,108722.30628596061
73,Bridge end,N1,A,396.0000000000008,False,0.0
75,Bridge start,N1,A,45.999999999999375,False,0.0
76,Bridge end,N1,A,646.0000000000008,False,0.0
78,Bridge start,N1,A,38.000000000000256,False,0.0
79,Bridge end,N1,A,532.0,False,0.0
80,Bridge start,N1,A,38.000000000000256,False,0.0
81,Bridge end,N1,A,39.00000000000148,False,0.0
84,Bridge start,N1,A,40.0000000000027,False,0.0
85,Bridge end,N1,A,394.9999999999996,False,0.0
87,Box culvert,N1,A,582.0000000000007,False,0.0
89,Bridge start,N1,A,76.99999999999818,False,0.0
90,Bridge end,N1,A,442.9999999999978,False,0.0
91,Box culvert,N1,A,256.0000000000002,False,0.0
94,Bridge start,N1,A,39.99999999999915,False,0.0
95,Bridge end,N1,A,275.0000000000057,False,0.0
96,Box culvert,N1,A,650.9999999999962,False,0.0
98,Daudkandi bridge,N1,A,335.9999999999985,False,0.0
101,Daudkandi bridge,N1,Unknown,354.9999999999969,False,0.0
104,Bridge start,N1,Unknown,17.000000000003013,False,0.0
105,Bridge end,N1,Unknown,46.99999999999704,False,0.0
107,Box culvert,N1,C,487.0000000000019,True,6753.504175419096
111,Bridge start,N1,Unknown,16.999999999995907,False,0.0
112,Bridge end,N1,Unknown,24.00000000000091,False,0.0
116,Box culvert,N1,Unknown,814.9999999999977,False,0.0
120,Box culvert,N1,C,107.999999999997,False,0.0
124,Bridge start,N1,Unknown,20.000000000003126,False,0.0
125,Bridge end,N1,Unknown,576.9999999999982,False,0.0
