truck_id,source_id,sink_id,generated_at_step,removed_at_step,total_driving_time
Truck492486,3122,0,0,16,16
Truck492504,3122,0,5,21,16
Truck492522,3122,0,10,26,16
Truck492513,2821,2822,5,37,32
Truck492576,3122,0,25,41,16
Truck492529,3331,3239,10,42,32
Truck492532,2822,2821,10,43,33
Truck492585,2821,2822,25,57,32
Truck492493,3331,2821,0,62,62
Truck492670,1339,0,50,62,12
Truck492582,3239,2437,25,64,39
Truck492567,2821,2998,20,66,46
Truck492618,3239,3331,35,68,33
Truck492600,3239,3121,30,69,39
Truck492724,1339,3122,65,69,4
Truck492548,2656,2821,15,72,57
Truck492511,3331,3121,5,75,70
Truck492605,2998,2821,30,76,46
Truck492539,3121,2999,15,77,62
Truck492627,2655,3239,40,78,38
Truck492638,2656,3239,40,78,38
Truck492509,2224,2822,5,79,74
Truck492636,3239,2437,40,79,39
Truck492556,2999,3121,20,83,63
Truck492489,2436,2225,0,84,84
Truck492577,3238,1339,25,84,59
Truck492654,3239,2437,45,84,39
Truck492547,3331,3121,15,85,70
Truck492530,2656,2999,10,86,76
Truck492551,2998,2822,15,86,71
Truck492586,2822,3331,25,86,61
Truck492550,2822,2998,15,87,72
Truck492750,0,1339,75,87,12
Truck492672,3239,2655,50,89,39
Truck492537,2655,2656,15,90,75
Truck492559,3238,0,20,90,70
Truck492565,3331,3121,20,90,70
Truck492490,1339,2437,0,92,92
Truck492568,2822,2998,20,92,72
Truck492778,1339,0,80,92,12
Truck492690,3239,2656,55,93,38
Truck492640,2822,2656,40,95,55
Truck492566,2656,2437,20,96,76
Truck492729,2821,2822,65,97,32
Truck492708,3239,2437,60,99,39
Truck492595,3238,0,30,100,70
Truck492584,2656,2225,25,101,76
Truck492518,2437,1339,10,102,92
Truck492526,1339,2437,10,102,92
Truck492656,2656,2821,45,102,57
Truck492728,2656,3239,65,103,38
Truck492482,2437,2822,0,104,104
Truck492599,2224,2822,30,104,74
Truck492609,2655,3331,35,105,70
Truck492602,2656,1338,30,106,76
Truck492655,3331,2821,45,107,62
Truck492500,2437,2998,5,109,104
Truck492637,3331,2437,40,110,70
Truck492620,2656,2999,35,111,76
Truck492562,1339,2437,20,112,92
Truck492578,2225,2436,25,112,87
Truck492658,2822,2224,45,117,72
Truck492710,2656,2821,60,117,57
