id,road,lrp,chainage,lat,lon,name,model_type,structure_type,length,condition,connected_roads,road_pairs,n_matches,min_pair_dist_m,mean_pair_dist_m
9000000,N1,,,23.478966966666672,91.11807805000001,INT_N1_N102,intersection,,0.0,N/A,N1|N102,N1-N102,1,2.835285689226931,2.835285689226931
9000001,N1,,,23.0095417,91.3814021,INT_N1_N104,intersection,,0.0,N/A,N1|N104,N1-N104,1,9.07833926376408,9.07833926376408
9000002,N1,,,23.6904163,90.5465969,INT_N1_N105,intersection,,0.0,N/A,N1|N105,N1-N105,1,2.8307213614392204,2.8307213614392204
9000003,N1,,,23.706,90.52148545,INT_N1_N2,intersection,,0.0,N/A,N1|N2,N1-N2,1,20.374131444742698,20.374131444742698
9000004,N102,,,24.050722200000003,91.11455555,INT_N102_N2,intersection,,0.0,N/A,N102|N2,N102-N2,1,33.466211088171,33.466211088171
9000005,N105,,,23.78529135,90.56884655,INT_N105_N2,intersection,,0.0,N/A,N105|N2,N105-N2,1,23.228954226869185,23.228954226869185
9000006,N2,,,24.147971875,91.346569125,INT_N2_N204,intersection,,0.0,N/A,N2|N204,N2-N204,1,18.004812916667866,18.004812916667866
9000007,N2,,,24.267541,91.4770132,INT_N2_N204,intersection,,0.0,N/A,N2|N204,N2-N204,1,42.39049027139144,42.39049027139144
9000008,N2,,,24.294964949999997,91.51025,INT_N2_N207,intersection,,0.0,N/A,N2|N207,N2-N207,1,22.890525898625082,22.890525898625082
9000009,N2,,,24.626416,91.67751319999999,INT_N2_N207,intersection,,0.0,N/A,N2|N207,N2-N207,1,18.736990176144925,18.736990176144925
9000010,N2,,,24.87766311228448,91.87539295334052,INT_N2_N208,intersection,,0.0,N/A,N2|N208,N2-N208,1,17.582904658979828,17.582904658979828
9000011,N207,,,24.47138125,91.7655139,INT_N207_N208,intersection,,0.0,N/A,N207|N208,N207-N208,1,8.440589851732902,8.440589851732902
9000012,N1,,,22.3935552,91.8215827,INT_N1_N106,intersection,,0.0,N/A,N1|N106,N1-N106,1,4404.965962213703,4404.965962213703
