road_a,road_b,chainage_a,chainage_b,lat_a,lon_a,lat_b,lon_b,lat,lon,dist_m,name_a,name_b,lrp_a,lrp_b,source
N1,N102,81.846,0.0,23.4789716,91.118166,23.4789716,91.1181938,23.478966966666672,91.11807805000001,2.835285689226931,Road to Brahmanbaria(N102),Start of road from N1 Mainamati,LRP084a,LRPS,
N1,N104,145.409,1.878,23.0095556,91.3813604,23.0095278,91.3814438,23.0095417,91.3814021,9.07833926376408,Intersection with N104 / Km post missing,Right to Comilla Left to Chittagong,LRP148a,LRP001a,
N1,N105,11.936,0.0,23.6904163,90.546583,23.6904163,90.5466108,23.6904163,90.5465969,2.8307213614392204,Right to Syedpur (R113) left to Joydebpur N105),"Starts of road from N1,Dhaka teknaf road at Madanpur.",LRP012c,LRPS,
N1,N2,8.763,0.0,23.7060833,90.5215271,23.7059167,90.5214438,23.706,90.52148545,20.374131444742698,Road to Sylhet (N2),Road Start from N1 at Katchpur,LRP009a,LRPS,
N102,N2,82.682,85.823,24.0506111,91.1146667,24.0508333,91.1144444,24.050722200000003,91.11455555,33.466211088171,Meet with N 2 at Sanail,Road to Mainamoti(N102),LRPE,LRP086a,
N105,N2,12.803,11.476,23.7851941,90.5688049,23.7853886,90.5688882,23.78529135,90.56884655,23.228954226869185,N2 Dhaka-Sylhet -Jaflong Road,Bridge start,LRP012a,LRP012b,
N2,N204,116.294,0.0,24.1478608,91.3464441,24.1479163,91.3466108,24.147971875,91.346569125,18.004812916667866,Road to Chunarughat(N204),Road start from N2 at Jagannathganj.,LRP117b,LRPS,
N2,N204,141.308,34.421,24.2676938,91.4768882,24.2673882,91.4771382,24.267541,91.4770132,42.39049027139144,R240 to Habiganj / N204 to Chunarughat,Road End intersecting N2 at Shaistagonj Round About.,LRP142b,LRPE,
N2,N207,145.961,0.0,24.2947219,91.5100833,24.2948608,91.51025,24.294964949999997,91.51025,22.890525898625082,Road to Srimongal(N207),Road start from N2 at Mirpur.,LRP146b,LRPS,
N2,N207,190.892,67.985,24.6264993,91.6774993,24.6263327,91.6775271,24.626416,91.67751319999999,18.736990176144925,Road to Moulavo Bazar(N207),Road end with N2 at Mukti joddha Chattor Sherpur.,LRP191b,LRPE,
N2,N208,227.756,57.495,24.8776938,91.8752771,24.8775549,91.8753604,24.87766311228448,91.87539295334052,17.582904658979828,N209 / N208 to Moulovibazar,"Road end at Humayun Rashid Chattar, Intersection od N2 and N208",LRP228c,LRPE,
N207,N208,42.905,0.0,24.4713604,91.7654722,24.4713604,91.7655556,24.47138125,91.7655139,8.440589851732902,Sylhet 63 km,Road Start from N207 infront of RHD,LRP043,LRPS,
N106,N1,0.0,241.456,22.3935552,91.8215827,22.3646111,91.8508333,22.3935552,91.8215827,4404.965962213703,Oxygen More,Km post missing,LRPS,LRP245,manual_override
