id,road,lrp,chainage,lat,lon,name,model_type,structure_type,length,condition
0,N1,LRPS,0.0,23.7060278,90.443333,Start of Road  after Jatrabari Flyover infront of filling station.,sourcesink,,814.0,
1,N1,LRPSA,0.814,23.7029167,90.4504167,Box Culvert,bridge,Box Culvert,8.000000000000007,Unknown
2,N1,LRPSB,0.822,23.7027778,90.4504722,Intersection with Z1101,link,,178.00000000000006,
3,N1,LRP001,1.0,23.7021389,90.4519722,Km post missing,link,,1000.0,
4,N1,LRP002,2.0,23.6978886,90.4605833,Km post missing,link,,129.9999999999999,
5,N1,LRP002A,2.13,23.6973608,90.4616667,Box culvert,bridge,Box Culvert,870.0000000000001,A
6,N1,LRP003,3.0,23.693833,90.4691382,Km post missing,link,,1000.0,
7,N1,LRP004,4.0,23.6936108,90.4787771,Km post missing,link,,174.99999999999983,
8,N1,LRP004A,4.175,23.6938052,90.4805271,Road to Narayanganj(R111),link,,825.0000000000002,
9,N1,LRP005,5.0,23.6947497,90.4884997,Km post missing,link,,1000.0,
10,N1,LRP006,6.0,23.6959163,90.4981941,Km post missing,link,,1000.0,
11,N1,LRP007,7.0,23.697333,90.50775,Km post missing,link,,181.00000000000009,
12,N1,LRP007A,7.181,23.6979163,90.5092778,"R110,Left to Demra, Right to Narayanganj",link,,819.0,
13,N1,LRP008,8.0,23.7020556,90.5157222,Km post missing,link,,10.999999999999233,
14,N1,LRP008A,8.011,23.7021111,90.5157778,Kachpur bridge,bridge,Bridge,418.000000000001,Unknown
15,N1,LRP008B,8.429,23.7045833,90.5188327,Bridge end,bridge,Bridge,73.99999999999984,A
16,N1,LRP009,8.503,23.7050278,90.5193327,"Chittagong 251 km,Comilla 84 km",link,,259.9999999999998,
17,N1,LRP009A,8.763,23.7060833,90.5215271,Road to Sylhet (N2),link,,740.0000000000002,
9000003,N1,,8.763,23.706,90.52148545,INT_N1_N2,intersection,,0.0,N/A
18,N1,LRP010,9.503,23.7025278,90.5273882,Km post missing,link,,112.0000000000001,
19,N1,LRP010A,9.615,23.7015278,90.5281938,Box culvert,bridge,Box Culvert,347.999999999999,B
20,N1,LRP010B,9.963,23.6998608,90.5307216,Box culvert,bridge,Box Culvert,414.0000000000015,A
21,N1,LRP010C,10.377,23.6974163,90.5337774,Box culvert,bridge,Box Culvert,125.99999999999945,A
22,N1,LRP011,10.503,23.6966386,90.5348052,Km post missing,link,,381.99999999999966,
23,N1,LRP011A,10.885,23.6943608,90.5376108,Box culvert,bridge,Box Culvert,428.0000000000008,A
24,N1,LRP011B,11.313,23.6922774,90.5410552,Box culvert,bridge,Box Culvert,183.9999999999993,A
25,N1,LRP012,11.497,23.6918052,90.5426108,"Chittagong 248 km,Comilla 81 km",link,,247.9999999999993,
26,N1,LRP012A,11.745,23.6911108,90.5448886,Bridge start,bridge,Box Culvert,26.000000000001577,A
27,N1,LRP012B,11.771,23.6910552,90.5451386,Bridge end,bridge,Box Culvert,164.99999999999915,A
28,N1,LRP012C,11.936,23.6904163,90.546583,Right to Syedpur (R113) left to Joydebpur N105),link,,587.9999999999992,
9000002,N1,,11.936,23.6904163,90.5465969,INT_N1_N105,intersection,,0.0,N/A
29,N1,LRP013,12.524,23.6865274,90.5504167,"Ctg 247 km,Comilla 80 km",link,,148.00000000000148,
30,N1,LRP013A,12.672,23.6854997,90.5512778,Box culvert,bridge,Bridge,851.9999999999985,A
31,N1,LRP014,13.524,23.678166,90.5556111,Km post missing,link,,1000.0,
32,N1,LRP015,14.524,23.670916,90.5597778,Km post missing,link,,39.00000000000148,
33,N1,LRP015A,14.563,23.6705827,90.5599722,Box culvert,bridge,Box Culvert,960.9999999999984,Unknown
34,N1,LRP016,15.524,23.6628333,90.5641111,Km post missing,link,,411.00000000000136,
35,N1,LRP016A,15.935,23.6604167,90.5671104,Road to MinanbariZ1061),link,,307.0000000000004,
36,N1,LRP016B,16.242,23.6591111,90.5697216,Langalbandhu bridge,bridge,Bridge,160.00000000000014,Unknown
37,N1,LRP016C,16.402,23.6583056,90.5709993,Bridge end,bridge,Bridge,121.99999999999989,Unknown
38,N1,LRP017,16.524,23.6575,90.5719716,Km post missing,link,,306.99999999999864,
39,N1,LRP017A,16.831,23.6559722,90.5743327,Bridge start,bridge,Bridge,21.0000000000008,C
40,N1,LRP017B,16.852,23.6559167,90.5745271,Bridge end,bridge,Bridge,352.00000000000034,C
41,N1,LRP017C,17.204,23.6540556,90.5772771,Bridge start,bridge,Bridge,30.000000000001137,A
42,N1,LRP017D,17.234,23.6539167,90.5774993,Bridge end,bridge,Bridge,289.99999999999915,A
43,N1,LRP018,17.524,23.6525278,90.5798882,Km post missing,link,,338.99999999999864,
44,N1,LRP018A,17.863,23.6508889,90.5826382,Bridge start,bridge,Bridge,41.00000000000037,B
45,N1,LRP018B,17.904,23.6506944,90.5829993,Bridge end,bridge,Bridge,620.000000000001,A
46,N1,LRP019,18.524,23.6476108,90.588083,Km post missing,link,,353.9999999999992,
