infra_id,infra_label,infra_type,road_name,infra_name,crossing_count,unique_truck_count
3,Km post missing (LRP001),link,N1,Km post missing,77299,77299
5,Box culvert (LRP002A),bridge,N1,Box culvert,77295,77295
4,Km post missing (LRP002),link,N1,Km post missing,77294,77294
6,Km post missing (LRP003),link,N1,Km post missing,77294,77294
2,Intersection with Z1101 (LRPSB),link,N1,Intersection with Z1101,77292,77292
1,Box Culvert (LRPSA),bridge,N1,Box Culvert,77291,77291
10,Km post missing (LRP006),link,N1,Km post missing,77290,77290
9,Km post missing (LRP005),link,N1,Km post missing,77288,77288
8,Road to Narayanganj(R111) (LRP004A),link,N1,Road to Narayanganj(R111),77287,77287
12,"R110,Left to Demra, Right to Narayanganj (LRP007A)",link,N1,"R110,Left to Demra, Right to Narayanganj",77285,77285
11,Km post missing (LRP007),link,N1,Km post missing,77284,77284
17,Road to Sylhet (N2) (LRP009A),link,N1,Road to Sylhet (N2),77284,77284
7,Km post missing (LRP004),link,N1,Km post missing,77282,77282
16,"Chittagong 251 km,Comilla 84 km (LRP009)",link,N1,"Chittagong 251 km,Comilla 84 km",77279,77279
15,Bridge end (LRP008B),bridge,N1,Bridge end,77277,77277
13,Km post missing (LRP008),link,N1,Km post missing,77273,77273
14,Kachpur bridge (LRP008A),bridge,N1,Kachpur bridge,77273,77273
1351,Sylhet 223 km (LRP008),link,N2,Sylhet 223 km,39717,39717
1352,Km post missing (LRP009),link,N2,Km post missing,39713,39713
1354,Km post broken (LRP011),link,N2,Km post broken,39712,39712
1340,Sylhet 230 km (LRP001),link,N2,Sylhet 230 km,39711,39711
1353,Km post broken (LRP010),link,N2,Km post broken,39711,39711
1343,Bridge end (LRP002B),bridge,N2,Bridge end,39710,39710
1350,Km post broken (LRP007),link,N2,Km post broken,39710,39710
1341,Sylhet 229 km (LRP002),link,N2,Sylhet 229 km,39709,39709
1342,Bridge start (LRP002A),bridge,N2,Bridge start,39709,39709
1346,Information missing (LRP004),link,N2,Information missing,39709,39709
1347,Sylhet 226 km (LRP005),link,N2,Sylhet 226 km,39709,39709
1355,R202 to Rupganj (LRP011A),link,N2,R202 to Rupganj,39709,39709
1356,Km post missing (LRP012),link,N2,Km post missing,39709,39709
1357,Intersection with N105 (LRP012A),link,N2,Intersection with N105,39709,39709
1358,Bridge start (LRP012B),bridge,N2,Bridge start,39709,39709
1345,Road to Demra (R201) (LRP003A),link,N2,Road to Demra (R201),39708,39708
1344,Km post missing (LRP003),link,N2,Km post missing,39707,39707
1348,Km post broken (LRP006),link,N2,Km post broken,39707,39707
1349,"Z1090 Left to Keyatpara,Right to Mahajanpur. (LRP006A)",link,N2,"Z1090 Left to Keyatpara,Right to Mahajanpur.",39705,39705
18,Km post missing (LRP010),link,N1,Km post missing,36619,36619
20,Box culvert (LRP010B),bridge,N1,Box culvert,36617,36617
21,Box culvert (LRP010C),bridge,N1,Box culvert,36617,36617
19,Box culvert (LRP010A),bridge,N1,Box culvert,36616,36616
22,Km post missing (LRP011),link,N1,Km post missing,36612,36612
23,Box culvert (LRP011A),bridge,N1,Box culvert,36612,36612
28,Right to Syedpur (R113) left to Joydebpur N105) (LRP012C),link,N1,Right to Syedpur (R113) left to Joydebpur N105),36610,36610
25,"Chittagong 248 km,Comilla 81 km (LRP012)",link,N1,"Chittagong 248 km,Comilla 81 km",36608,36608
26,Bridge start (LRP012A),bridge,N1,Bridge start,36608,36608
27,Bridge end (LRP012B),bridge,N1,Bridge end,36608,36608
24,Box culvert (LRP011B),bridge,N1,Box culvert,36607,36607
