scenario,replicate,mean_travel_time,median_travel_time,p95_travel_time,total_travel_time,completed_trucks,mean_infra_crossings
0,1,153.94016321305705,108.0,370.0,19240981,124990,330.7113769101528
0,2,154.4062227135453,109.0,370.0,19274992,124833,331.52917097241914
0,3,153.74640720950634,108.0,370.0,19278262,125390,330.1340298269399
0,4,154.2326798957707,108.0,370.0,19236671,124725,331.2588574864702
0,5,153.18791704382514,108.0,370.0,19123520,124837,328.98278555236027
0,6,154.52514308253308,108.0,370.0,19196504,124229,332.071110610244
0,7,153.96725170547353,108.0,370.0,19229278,124892,331.0719421580245
0,8,153.81909435110103,108.0,370.0,19216158,124927,330.495121150752
0,9,154.03395326810238,108.0,370.0,19190012,124583,330.9978969843398
0,10,153.80857438929365,108.0,370.0,19147168,124487,330.38910890293766
1,1,153.94016321305705,108.0,370.0,19240981,124990,330.7113769101528
1,2,154.4062227135453,109.0,370.0,19274992,124833,331.52917097241914
1,3,154.38649543333466,108.0,370.0,19354663,125365,331.1560961990986
1,4,155.09092804002051,109.0,370.0,19345422,124736,331.50600468188816
1,5,156.17111369374425,108.0,385.0,19484689,124765,328.237262052659
1,6,154.52514308253308,108.0,370.0,19196504,124229,332.071110610244
1,7,153.96725170547353,108.0,370.0,19229278,124892,331.0719421580245
1,8,155.75694188819358,108.0,370.0,19464322,124966,330.9823311940848
1,9,153.87312223149516,108.0,370.0,19175053,124616,330.2180618861141
1,10,154.16578845906696,108.0,370.0,19193024,124496,331.33851690014137
2,1,158.23067686987704,108.0,379.0,19767442,124928,329.8101066214139
2,2,162.11149269419948,122.0,388.0,20203469,124627,331.04484581992665
2,3,166.4744255951905,121.0,391.0,20823620,125086,328.60260141022974
2,4,176.60487263426288,135.0,446.0,21956754,124327,335.0224971245184
2,5,164.23217322935722,108.0,417.0,20470555,124644,328.32989153108053
2,6,172.15840417201488,122.0,407.0,21325778,123873,330.1039693880022
2,7,177.19487364911012,122.0,462.0,22052788,124455,329.35911775340486
2,8,161.994486251693,108.0,384.49999999995634,20213510,124779,330.68006635731973
2,9,193.70308589145284,145.0,497.0,23990902,123854,328.3643321975875
2,10,160.50018086089787,109.0,391.0,19967025,124405,330.5605723242635
3,1,211.96652061294148,156.0,491.0,26268375,123927,326.33947404520404
3,2,193.37362965353122,122.0,500.0,23971562,123965,320.8277497680797
3,3,192.8543979196263,133.0,460.0,24028308,124593,326.34732288330804
3,4,203.91754067256065,141.0,530.0,25256207,123855,335.80880061362075
3,5,225.49973273725644,173.0,575.0,27843354,123474,330.1035683625703
3,6,187.5365255204917,123.0,443.0,23158698,123489,327.52108284948457
3,7,203.66388039470394,142.0,484.0,25242305,123941,334.52137710684923
3,8,200.57599387146198,120.0,478.0,24873429,124010,327.7415127812273
3,9,205.77317385041192,151.0,550.0,25426568,123566,327.1095042325559
3,10,196.33569344422622,119.0,531.0,24291241,123723,332.77908715436905
4,1,401.0985352751781,229.0,1200.0,48086099,119886,306.2068548454365
4,2,347.03825606589373,250.0,961.0,41964560,120922,312.7795603777642
4,3,360.9339827465225,189.0,891.0,43721738,121135,311.18941676641765
4,4,339.0972490866108,189.0,998.0,41023307,120978,324.61801319248127
4,5,400.513780052686,322.0,1214.0,48044031,119956,308.16168428423754
4,6,370.51953177145907,233.0,1074.0,44408989,119856,308.4959951942331
4,7,401.40623123123123,210.0,1312.0,48120579,119880,314.54718885552217
4,8,330.67633788901696,190.0,900.0,40163948,121460,317.6794170920468
4,9,371.94761501270995,285.0,1162.0,44774310,120378,339.0225871837047
4,10,420.02895322939867,242.0,1432.0,49977145,118985,306.9439257049208
