truck_id,source_id,sink_id,generated_at_step,removed_at_step,infra_crossing_count,total_driving_time
Truck3316697,N1 start,N2 start,0,12,17,12
Truck3316812,N105 start,N2 start,6,12,11,6
Truck3316715,N1 start,N2 start,1,13,17,12
Truck3316718,N1 start,N2 start,1,13,17,12
Truck3316731,N2 start,N1 start,1,13,17,12
Truck3316732,N2 start,N1 start,1,13,17,12
Truck3316737,N1 start,N2 start,2,14,17,12
Truck3316740,N1 start,N2 start,2,14,17,12
Truck3316836,N105 start,N2 start,8,14,11,6
Truck3316883,N2 start,N105 start,10,14,11,4
Truck3316884,N2 start,N105 start,10,14,11,4
Truck3316857,N105 start,N2 start,9,15,11,6
Truck3316906,N2 start,N105 start,11,15,11,4
Truck3316704,N105 start,N1 start,0,16,28,16
Truck3316771,N1 start,N2 start,4,16,17,12
Truck3316778,N2 start,N1 start,4,16,17,12
Truck3316779,N2 start,N1 start,4,16,17,12
Truck3316781,N2 start,N1 start,4,16,17,12
Truck3316716,N1 start,N105 start,1,17,28,16
Truck3316723,N105 start,N1 start,1,17,28,16
Truck3316725,N105 start,N1 start,1,17,28,16
Truck3316788,N1 start,N2 start,5,17,17,12
Truck3316791,N1 start,N2 start,5,17,17,12
Truck3316793,N1 start,N2 start,5,17,17,12
Truck3316742,N105 start,N1 start,2,18,28,16
Truck3316743,N105 start,N1 start,2,18,28,16
Truck3316745,N105 start,N1 start,2,18,28,16
Truck3316810,N1 start,N2 start,6,18,17,12
Truck3316814,N2 start,N1 start,6,18,17,12
Truck3316816,N2 start,N1 start,6,18,17,12
Truck3316755,N1 start,N105 start,3,19,28,16
Truck3316760,N1 start,N105 start,3,19,28,16
Truck3316764,N105 start,N1 start,3,19,28,16
Truck3316826,N2 start,N1 start,7,19,17,12
Truck3316827,N2 start,N1 start,7,19,17,12
Truck3316828,N2 start,N1 start,7,19,17,12
Truck3316831,N1 start,N2 start,8,20,17,12
Truck3316842,N2 start,N1 start,8,20,17,12
Truck3316794,N1 start,N105 start,5,21,28,16
Truck3316797,N105 start,N1 start,5,21,28,16
Truck3316798,N105 start,N1 start,5,21,28,16
Truck3316846,N1 start,N2 start,9,21,17,12
Truck3316848,N1 start,N2 start,9,21,17,12
Truck3316849,N1 start,N2 start,9,21,17,12
Truck3316863,N2 start,N1 start,9,21,17,12
Truck3316864,N2 start,N1 start,9,21,17,12
Truck3316885,N2 start,N1 start,10,22,17,12
Truck3317045,N2 start,N105 start,18,22,11,4
Truck3316905,N2 start,N1 start,11,23,17,12
Truck3316925,N2 start,N1 start,12,24,17,12
Truck3316927,N2 start,N1 start,12,24,17,12
Truck3316928,N2 start,N1 start,12,24,17,12
Truck3317072,N2 start,N105 start,20,24,11,4
Truck3316855,N105 start,N1 start,9,25,28,16
Truck3316856,N105 start,N1 start,9,25,28,16
Truck3316858,N105 start,N1 start,9,25,28,16
Truck3316930,N1 start,N2 start,13,25,17,12
Truck3316935,N1 start,N2 start,13,25,17,12
Truck3316946,N2 start,N1 start,13,25,17,12
Truck3316949,N2 start,N1 start,13,25,17,12
Truck3316868,N1 start,N105 start,10,26,28,16
Truck3316874,N105 start,N1 start,10,26,28,16
Truck3316967,N2 start,N1 start,14,26,17,12
Truck3316893,N1 start,N105 start,11,27,28,16
Truck3316898,N105 start,N1 start,11,27,28,16
Truck3316899,N105 start,N1 start,11,27,28,16
Truck3316900,N105 start,N1 start,11,27,28,16
Truck3316975,N1 start,N2 start,15,27,17,12
Truck3316978,N1 start,N2 start,15,27,17,12
Truck3316979,N1 start,N2 start,15,27,17,12
Truck3316913,N1 start,N105 start,12,28,28,16
Truck3316921,N105 start,N1 start,12,28,28,16
Truck3316995,N1 start,N2 start,16,28,17,12
Truck3317009,N2 start,N1 start,16,28,17,12
Truck3317010,N2 start,N1 start,16,28,17,12
Truck3317135,N2 start,N105 start,24,28,11,4
Truck3316931,N1 start,N105 start,13,29,28,16
Truck3316932,N1 start,N105 start,13,29,28,16
Truck3316937,N1 start,N105 start,13,29,28,16
Truck3316944,N105 start,N1 start,13,29,28,16
Truck3317028,N2 start,N1 start,17,29,17,12
Truck3317029,N2 start,N1 start,17,29,17,12
Truck3316959,N105 start,N1 start,14,30,28,16
Truck3316961,N105 start,N1 start,14,30,28,16
Truck3317035,N1 start,N2 start,18,30,17,12
Truck3317046,N2 start,N1 start,18,30,17,12
Truck3316973,N1 start,N105 start,15,31,28,16
Truck3316977,N1 start,N105 start,15,31,28,16
Truck3316984,N105 start,N1 start,15,31,28,16
Truck3316985,N105 start,N1 start,15,31,28,16
Truck3317055,N1 start,N2 start,19,31,17,12
Truck3317060,N2 start,N1 start,19,31,17,12
Truck3317183,N2 start,N105 start,27,31,11,4
Truck3316996,N1 start,N105 start,16,32,28,16
Truck3317004,N105 start,N1 start,16,32,28,16
Truck3317018,N1 start,N105 start,17,33,28,16
Truck3317019,N1 start,N105 start,17,33,28,16
Truck3317077,N1 start,N2 start,21,33,17,12
Truck3317079,N1 start,N2 start,21,33,17,12
Truck3317080,N1 start,N2 start,21,33,17,12
Truck3317036,N1 start,N105 start,18,34,28,16
Truck3317037,N105 start,N1 start,18,34,28,16
Truck3317101,N2 start,N1 start,22,34,17,12
Truck3317103,N2 start,N1 start,22,34,17,12
Truck3317050,N1 start,N105 start,19,35,28,16
Truck3317119,N2 start,N1 start,23,35,17,12
Truck3317120,N2 start,N1 start,23,35,17,12
Truck3317121,N2 start,N1 start,23,35,17,12
Truck3317129,N1 start,N2 start,24,36,17,12
Truck3317136,N2 start,N1 start,24,36,17,12
Truck3317137,N2 start,N1 start,24,36,17,12
Truck3317138,N2 start,N1 start,24,36,17,12
Truck3317231,N105 start,N2 start,30,36,11,6
Truck3317078,N1 start,N105 start,21,37,28,16
Truck3317082,N1 start,N105 start,21,37,28,16
Truck3317084,N1 start,N105 start,21,37,28,16
Truck3317148,N1 start,N2 start,25,37,17,12
Truck3317157,N2 start,N1 start,25,37,17,12
Truck3317158,N2 start,N1 start,25,37,17,12
Truck3317160,N2 start,N1 start,25,37,17,12
Truck3317093,N1 start,N105 start,22,38,28,16
Truck3317164,N1 start,N2 start,26,38,17,12
Truck3317172,N2 start,N1 start,26,38,17,12
Truck3317108,N1 start,N105 start,23,39,28,16
Truck3317116,N105 start,N1 start,23,39,28,16
Truck3317177,N1 start,N2 start,27,39,17,12
Truck3317185,N2 start,N1 start,27,39,17,12
Truck3317130,N1 start,N105 start,24,40,28,16
Truck3317131,N1 start,N105 start,24,40,28,16
Truck3317203,N1 start,N2 start,29,41,17,12
Truck3317214,N2 start,N1 start,29,41,17,12
Truck3317215,N2 start,N1 start,29,41,17,12
Truck3317217,N2 start,N1 start,29,41,17,12
Truck3317163,N1 start,N105 start,26,42,28,16
Truck3317222,N1 start,N2 start,30,42,17,12
Truck3317224,N1 start,N2 start,30,42,17,12
Truck3317179,N105 start,N1 start,27,43,28,16
Truck3317180,N105 start,N1 start,27,43,28,16
Truck3317189,N1 start,N105 start,28,44,28,16
Truck3317193,N1 start,N105 start,28,44,28,16
Truck3317196,N105 start,N1 start,28,44,28,16
Truck3317197,N105 start,N1 start,28,44,28,16
Truck3317250,N1 start,N2 start,32,44,17,12
Truck3317252,N1 start,N2 start,32,44,17,12
Truck3317260,N2 start,N1 start,32,44,17,12
Truck3317353,N105 start,N2 start,38,44,11,6
Truck3317205,N1 start,N105 start,29,45,28,16
Truck3317268,N1 start,N2 start,33,45,17,12
Truck3317277,N2 start,N1 start,33,45,17,12
Truck3317225,N1 start,N105 start,30,46,28,16
Truck3317282,N1 start,N2 start,34,46,17,12
Truck3317290,N1 start,N2 start,35,47,17,12
Truck3317291,N1 start,N2 start,35,47,17,12
Truck3317293,N1 start,N2 start,35,47,17,12
Truck3317302,N2 start,N1 start,35,47,17,12
Truck3317303,N2 start,N1 start,35,47,17,12
Truck3317405,N105 start,N2 start,41,47,11,6
Truck3317256,N105 start,N1 start,32,48,28,16
Truck3317312,N1 start,N2 start,36,48,17,12
Truck3317321,N2 start,N1 start,36,48,17,12
Truck3317322,N2 start,N1 start,36,48,17,12
Truck3317266,N1 start,N105 start,33,49,28,16
Truck3317271,N1 start,N105 start,33,49,28,16
Truck3317275,N105 start,N1 start,33,49,28,16
