road,length_km,start_lat,start_lon,end_lat,end_lon,start_name,end_name,passes_length,min_dist_to_main_m,connected_by_distance,selected,reason,selection_source
N102,82.682,23.4789716,91.1181938,24.0506111,91.1146667,Start of road from N1 Mainamati,Meet with N 2 at Sanail,True,2.835285689226931,True,True,length>25km and road comes close to N1/N2,distance_rule
N207,67.985,24.2948608,91.51025,24.6263327,91.6775271,Road start from N2 at Mirpur.,Road end with N2 at Mukti joddha Chattor Sherpur.,True,18.736990176144925,True,True,length>25km and road comes close to N1/N2,distance_rule
N208,57.495,24.4713604,91.7655556,24.8775549,91.8753604,Road Start from N207 infront of RHD,"Road end at Humayun Rashid Chattar, Intersection od N2 and N208",True,17.582904658979828,True,True,length>25km and road comes close to N1/N2,distance_rule
N104,49.63,23.0096667,91.3994163,22.8257493,91.1014444,Intersection with Z1031,Meet with Z1441& Z1405 at Sonapur.,True,9.07833926376408,True,True,length>25km and road comes close to N1/N2,distance_rule
N105,48.87,23.6904163,90.5466108,23.9895274,90.3582222,"Starts of road from N1,Dhaka teknaf road at Madanpur.","B.Bridge 83 km,Tangail 60 km / End of Road  Intersection at N4 at Joydebpur.",True,2.8307213614392204,True,True,length>25km and road comes close to N1/N2,distance_rule
N204,34.421,24.1479163,91.3466108,24.2673882,91.4771382,Road start from N2 at Jagannathganj.,Road End intersecting N2 at Shaistagonj Round About.,True,18.004812916667866,True,True,length>25km and road comes close to N1/N2,distance_rule
N106,66.85,22.3935552,91.8215827,22.6485274,92.2018333,Start of Road  from Oxygen  More,The road ends Infront of DC Bunglow,True,,False,True,required road for the expanded network,required
N5,526.033,23.7837774,90.3364163,26.6332216,88.4148333,Road Start From Mirpur Bridge Gabtoli,"End at N5 at Banglabandha Zero Point ,India Bangladesh Barder.",True,13898.358156186461,False,False,not selected,distance_rule_rejected
N7,249.665,23.7689716,89.7870552,22.5293327,89.5894441,Start of road from Dauladia Ferry Ghat Infront of 3NO Ghat.,"End of road at Digraj,Mongla,Bagerhat.",True,65950.79779222046,False,False,not selected,distance_rule_rejected
N6,232.244,23.9578056,89.6068889,24.84144964,88.14171634,Start of road from Kashinathpur more.Left -Nazirganj.,Road end at Balia Dighi Cheek Post Road Pav.Marking area..,True,89565.72375828926,False,False,not selected,distance_rule_rejected
N8,205.127,23.7021389,90.4353608,22.3597222,90.3186104,"Start of road Infront of Padma CNG Station ,Dholaipur,Jatrabari ,Dhaka.",End of road at Chowmatha and Intersect with R880 & Z8052.,True,919.6832196917538,False,False,not selected,distance_rule_rejected
N4,146.305,23.9893886,90.3818327,24.9230549,89.9501667,Road Start from N3,End of road Jamalpur Muktagacha round Intersection with Z4021,True,29120.195785303516,False,False,not selected,distance_rule_rejected
N3,111.583,23.8145833,90.4043056,24.7575,90.40675,Start of Road From the End of Banani Rail Crossing Over Pass,"Ganginar More,Shapla chattar & Intersect with Z3038",True,12707.47933454655,False,False,not selected,distance_rule_rejected
N805,110.633,23.3902219,89.9837497,22.7409163,89.6349441,Start from Bhanga More and Intersection of N805 and N804 &N8.,End of road at 805 (Katakhali Traffic More),True,58547.67398444552,False,False,not selected,distance_rule_rejected
N509,104.69,25.8698049,89.51025,26.4069444,88.9238327,"Start at Simultola Barobari from N 506, Lalmonirhat","End at BurimaryBorder, Burimary zero point India Bangladesh Border.",True,243633.44493556215,False,False,not selected,distance_rule_rejected
N704,81.538,23.5456941,89.1728604,24.1121389,89.1217216,Start at post office more and intersection at N 703 & N 704 Jhenaihah .,End of at Dasuria more infront of Zakir motors Pabna and intersection N 6 & N 704.,True,126874.11896530281,False,False,not selected,distance_rule_rejected
N809,67.815,22.685583,90.3568056,22.946333,90.8137222,"Start from N8 at Amtali Medical more,Barishal",End of Road with R140 at Bus stand Lakshmipur .,True,56479.13676687843,False,False,not selected,distance_rule_rejected
N502,63.29,24.821916,89.36275,24.4118889,88.9961108,Road start from N 5 at Jahangirabad Bogra,"End at Madrasha more,Natore.",True,156473.13643202267,False,False,not selected,distance_rule_rejected
N806,55.169,23.2135833,89.7100556,23.1609722,89.222666,Start at Bhatiapara intersect N805,"End at Traffic more island infront of Monihor Cinema hall and intersection of N707, Jessore",True,92697.73712158855,False,False,not selected,distance_rule_rejected
N507,51.26,24.4192216,89.5518056,24.2984163,89.0797771,Start from N 5 at Hatikamrul Round about,End at Banpara Round about. & Connect with N 6,True,120343.1913286094,False,False,not selected,distance_rule_rejected
N506,50.017,25.7161111,89.2623056,25.8130278,89.643333,"Start from N517 at park and more , Rangpur.",End at kurigram Shapla chattor and Meet with Z 5622 & Z 5621,True,231233.90587249587,False,False,not selected,distance_rule_rejected
N401,46.98,24.6071667,90.0287493,24.7636667,90.4060278,Road Start from N4 at Madhupur,Road End with Mymensingh Zero Point at Kacharir more and connecting R370.,True,91782.1166814517,False,False,not selected,distance_rule_rejected
N702,43.75,23.1665833,89.2095,23.4856663,89.4189716,"Start from Daratana more Traffic Island,Intersection with N-707,Jessore.",End road at Vaina more Magura &Meet with N-7,True,107217.63286490069,False,False,not selected,distance_rule_rejected
N706,38.2,23.1665278,89.2095278,23.0389441,88.8841663,"Start of Road From N707 at Daratana Traffic Island , Jessore.",End at Benapole Bordar.,True,139438.0289960321,False,False,not selected,distance_rule_rejected
N804,32.063,23.3903608,89.9838886,23.5883052,89.8086111,Start from Bhanga more at intersection N 8 N805 N804 Faridpur .,End at Rajbari Road more and Intersection with N7,True,57985.64119359729,False,False,not selected,distance_rule_rejected
N402,28.0,24.9718049,90.1785549,25.2005556,90.2242493,Road Start from R371 at Nakla.,End of road at Boarder Pillar.,True,123431.1903994287,False,False,not selected,distance_rule_rejected
N709,26.567,22.935583,89.4879719,22.7745827,89.6171104,Start from N 7 Afilgat Fultala Khulna,"End at Kadir Bottala More infront of Temple and Intersection at N7&,Tilokirupsha,Khulna.",True,129828.74778626642,False,False,not selected,distance_rule_rejected
N108,22.541,22.1021389,92.0740827,22.1960552,92.2176104,Start of road from N1 at Keranirhat,End of road Intersecting R161 at Bandarban,False,4.214079924832714,True,False,not selected,distance_rule_rejected
N603,21.03,24.3663889,88.7263882,24.3832216,88.5454163,Road start at Belpukur from N6.,End road at Kashidanga &Connect with R-680 Rajshahi.,False,189189.34235550198,False,False,not selected,distance_rule_rejected
N120,20.94,23.4772771,91.1361108,23.3581667,91.2534722,"Start of road N1 at Alaker Chor, Comilla.",End of road at Lalbag mor and meet with N1,False,31.337685356911432,True,False,not selected,distance_rule_rejected
N302,17.555,23.8805827,90.4011389,23.9379441,90.2698327,Road Start from N3,Road end  Intersecting N540 at Bipail more,False,19783.681336689187,False,False,not selected,distance_rule_rejected
N540,16.01,23.9135,90.2585,24.0475552,90.2388886,Road Start with N5 at Nabinagar.,Road End with N4 at Chandra.,False,29762.076829056903,False,False,not selected,distance_rule_rejected
N515,16.0,24.8057778,89.3836941,24.8888052,89.36025,"Start from N 5  Betgari more Shajahanpur, Bogra.",End at Matidali and meet with N 5 Bogra,False,161319.21875103164,False,False,not selected,distance_rule_rejected
N508,15.975,25.7565556,88.6736938,25.6215827,88.6347497,Start at Dosmile more infront of RHD distance sign boart Sharing Saidpur and Dinajpur.,End  of road at RHD km Sing board  Dinajpur 0km infront of D.C.office Dinajpur.,False,279604.4995406835,False,False,not selected,distance_rule_rejected
N309,13.303,24.740083,90.4249993,24.7822771,90.3442219,Road start from Z3033 at Kewat Khali By pass more.,"Road End with N401,madhupur-Mymensingh road.",False,86993.35134969866,False,False,not selected,distance_rule_rejected
N111,12.66,22.3934441,91.7491386,22.2984719,91.7922219,Start of road from N1,End od road at Chittagong port.,False,628.6529308563659,False,False,not selected,distance_rule_rejected
N501,11.942,23.7985552,90.3434163,23.8922497,90.3618056,Road start from Diabari More,The road ends intersecting N302 at Dhour,False,14466.037448115636,False,False,not selected,distance_rule_rejected
N513,11.88,23.8942774,89.6485274,23.8146944,89.7128333,"Start from N5 at Baderhat more,Bera Pabna",End at Khayerchar,False,75318.33481437975,False,False,not selected,distance_rule_rejected
N210,10.844,24.9162778,91.9495552,24.8479997,91.8967497,Road Start From N2 At Khadimnagar Bypass Point,Road End With N208 at Royal City Chottor,False,4.173158890432626,True,False,not selected,distance_rule_rejected
N107,10.542,22.3944163,91.891833,22.3159722,91.9235827,Start of Road from Kalurghat Bridge End,Intersection with N1 at Moneswartek.,False,9.262537389547242,True,False,not selected,distance_rule_rejected
N511,9.462,23.8508611,90.3410552,23.8976108,90.3313327,Road start from N 501 at Birulia,Road end with N 302 at Ashulia Bazar  Bus stand.,False,19174.858296350536,False,False,not selected,distance_rule_rejected
N705,9.453,24.0753604,89.0661667,24.1299993,89.1186938,Road Start infront of Ruppur Power Plant  Signboard  Ishwardi.,"End of road Infront of Bkash Sign Board at Intersection of N 704 & N705,Dasuria.",False,142658.35983557135,False,False,not selected,distance_rule_rejected
N715,9.225,22.6887219,89.0328882,22.669416,88.9468608,Start at Alipur intersection of Z 7602 & N 715,End at Border Bhomra,False,183236.34450698222,False,False,not selected,distance_rule_rejected
N514,8.67,24.8158333,89.3797216,24.8891663,89.3602778,"Start of Road from N5 at Banani, Bogra.","End at Matidali more and meet with  N5,Bogra.",False,163867.03650424455,False,False,not selected,distance_rule_rejected
N517,8.21,25.7095833,89.2610278,25.7647778,89.2315827,Start  from N 6 at Modern more Rangpur.,End at Medical more meet with N 5 Rangpur.,False,242995.70883125847,False,False,not selected,distance_rule_rejected
N123,8.06,22.8941386,91.5344719,22.8357497,91.5488886,Start of road from N1,"End of road Intersecting N1, Near filling station",False,27.50671315715435,True,False,not selected,distance_rule_rejected
N516,8.0,24.838833,88.9114167,24.8146111,88.9809993,"Start at bypass more, Intersection at R-545 &  N516 folimara Naogaon.","Road end at Shantahar bypass more, & Intersection with R-5454,Shantahar,Bogra.",False,192795.86657037158,False,False,not selected,distance_rule_rejected
N604,7.83,24.0073889,89.2587222,24.0322493,89.2258882,"Start at Traffic more Bus Stand Infront of Maa General Store and Intersection with N6,Pabna.",Road end Infront of NR CNG Filling Station at Gachpara more meet with N6.,False,125041.51916382166,False,False,not selected,distance_rule_rejected
N110,7.56,21.4259438,92.0232493,21.4359997,91.9715827,"Road Start from N1 at Teknaff 79 Km Cox,s Bazar 8 Km.",Infor.missing,False,12.662806782806902,True,False,not selected,distance_rule_rejected
N404,6.489,24.2425552,89.9404719,24.2836386,89.9172771,Road start from N4,Road end with N4 at Bypass more.,False,78546.3824383536,False,False,not selected,distance_rule_rejected
N707,6.35,23.179666,89.194583,23.1439163,89.2365552,"Start from palbari more Triffic island  and Intersection at N707 & N708 infront of Royal community Center, Jossore.",Km post missing,False,138083.21709495716,False,False,not selected,distance_rule_rejected
N712,6.15,23.5427774,89.1904997,23.5230549,89.1696104,"Start of road at Central busterminal more intersect N 7, N 730.",End at By pass more inter sect with N 7,False,128917.48077331268,False,False,not selected,distance_rule_rejected
