bridge_id,bridge_name,road_name,condition,total_wait_time
1,Box Culvert,N1,A,0.0
5,Box culvert,N1,A,0.0
14,Kachpur bridge,N1,A,0.0
15,Bridge end,N1,A,0.0
19,Box culvert,N1,B,92.35926406065
20,Box culvert,N1,A,0.0
21,Box culvert,N1,A,0.0
23,Box culvert,N1,A,0.0
24,Box culvert,N1,A,0.0
26,Bridge start,N1,A,0.0
27,Bridge end,N1,A,0.0
30,Box culvert,N1,A,0.0
33,Box culvert,N1,B,44.811546539085604
36,Langalbandhu bridge,N1,B,1618.0570884546737
37,Bridge end,N1,C,2877.405313668815
39,Bridge start,N1,C,1344.0564761236888
40,Bridge end,N1,C,69.34314196630525
41,Bridge start,N1,A,0.0
42,Bridge end,N1,A,0.0
44,Bridge start,N1,B,985.0859495187725
45,Bridge end,N1,A,0.0
47,Box culvert,N1,C,104.32279378773221
48,Box culvert,N1,B,294.6803951369199
51,Bridge start,N1,B,1258.7959414525412
52,Bridge end,N1,B,512.7177574788783
54,Box culvert,N1,A,0.0
56,Bridge start,N1,B,66.33403267915143
57,Bridge end,N1,B,38.56197259095412
58,Bridge start,N1,B,1285.3895473872767
59,Bridge end,N1,B,65.20293159826197
61,Meghna  bridge,N1,A,0.0
63,Bridge end,N1,A,0.0
66,Box culvert,N1,A,0.0
67,Box culvert,N1,A,0.0
69,Bridge start,N1,A,0.0
71,Bridge end,N1,A,0.0
72,Bridge start,N1,A,0.0
73,Bridge end,N1,A,0.0
75,Bridge start,N1,A,0.0
76,Bridge end,N1,A,0.0
78,Bridge start,N1,A,0.0
79,Bridge end,N1,A,0.0
80,Bridge start,N1,A,0.0
81,Bridge end,N1,A,0.0
84,Bridge start,N1,A,0.0
85,Bridge end,N1,A,0.0
87,Box culvert,N1,A,0.0
89,Bridge start,N1,A,0.0
90,Bridge end,N1,A,0.0
91,Box culvert,N1,A,0.0
94,Bridge start,N1,A,0.0
95,Bridge end,N1,A,0.0
96,Box culvert,N1,A,0.0
98,Daudkandi bridge,N1,A,0.0
101,Daudkandi bridge,N1,A,0.0
104,Bridge start,N1,C,861.6035152337429
105,Bridge end,N1,C,2143.5912015157805
107,Box culvert,N1,C,105.38555562848244
111,Bridge start,N1,C,566.8456981211262
112,Bridge end,N1,C,663.003075168314
116,Box culvert,N1,C,94.0060486201394
120,Box culvert,N1,C,2050.7920766389907
124,Bridge start,N1,A,0.0
125,Bridge end,N1,A,0.0
128,Bridge start,N1,A,0.0
129,Bridge end,N1,A,0.0
132,Box culvert,N1,C,48.256967154080385
137,Bridge start,N1,C,1360.8564478841233
138,Bridge end,N1,C,1950.0012487802637
142,Box culvert,N1,B,1740.9490274866528
145,Box culvert,N1,B,1205.5289552327806
150,Box culvert,N1,B,35.86147797653748
151,Box culvert,N1,B,38.22833650509864
155,Box culvert,N1,B,903.098153119507
158,Box culvert,N1,A,0.0
165,Bridge start,N1,C,1026.7268796016042
166,Bridge end,N1,C,1800.4312630422073
170,Box culvert,N1,B,1015.9685667697516
172,Box culvert,N1,B,1039.7070079167984
177,Box culvert,N1,C,2434.7209481312525
181,Box culvert,N1,B,24.34985986206967
183,Box culvert,N1,A,0.0
186,Box culvert,N1,A,0.0
193,Bridge start,N1,A,0.0
194,Bridge end,N1,A,0.0
200,Bridge start,N1,C,833.0850924939715
201,Bridge end,N1,C,72.9710285537576
206,Bridge start,N1,C,1172.976939499469
207,Bridge end,N1,C,40.708876595769496
211,Box culvert,N1,C,99.52151446947344
213,Bridge start,N1,A,0.0
214,Bridge end,N1,A,0.0
217,Box culvert,N1,A,0.0
218,Box culvert,N1,A,0.0
219,Box culvert,N1,A,0.0
221,Bridge start,N1,A,0.0
222,Bridge end,N1,A,0.0
225,Box culvert,N1,A,0.0
227,Bridge start,N1,C,1019.1447686949685
228,Bridge end,N1,C,71.47906334686185
230,Box culvert,N1,C,37.32207796731284
233,Bridge start,N1,A,0.0
234,Bridge end,N1,A,0.0
238,Bridge start,N1,A,0.0
239,Bridge end,N1,A,0.0
241,Bridge start,N1,A,0.0
242,Bridge end,N1,A,0.0
243,Box culvert,N1,B,871.2303341792639
245,Box culvert,N1,B,38.0936290507494
247,Bridge start,N1,A,0.0
248,Bridge end,N1,A,0.0
250,Box culvert,N1,A,0.0
252,Box culvert,N1,B,33.412872407592225
255,Box culvert,N1,B,26.205510169726406
256,Box culvert,N1,B,21.09517316952787
257,Box culvert,N1,B,46.09853400175099
259,Box culvert,N1,B,30.569037820518325
261,Box culvert,N1,B,950.7992491205421
262,Bridge start,N1,B,295.14656302719874
263,Bridge end,N1,B,15.525317123153217
264,Box culvert,N1,B,55.3366602475156
266,Box culvert,N1,B,19.7668612372945
267,Box culvert,N1,A,0.0
269,Box culvert,N1,B,28.790546584120374
270,Box culvert,N1,B,13.789325168085991
273,Box culvert,N1,A,0.0
275,Box culvert,N1,B,37.70368454153774
277,Box culvert,N1,A,0.0
279,Box culvert,N1,A,0.0
281,Bridge start,N1,C,764.7036425245316
282,Bridge end,N1,C,55.2761688457324
284,Box culvert,N1,B,41.46530363969828
286,Bridge start,N1,B,242.5821996228073
287,Bridge end,N1,A,0.0
289,Box culvert,N1,B,24.806842490398097
292,Box culvert,N1,B,398.4307627949987
