bridge_id,bridge_name,road_name,condition,length,total_wait_time
1,Box Culvert,N1,A,8.000000000000007,2973.492420380545
5,Box culvert,N1,A,870.0000000000001,245.28622000213872
14,Kachpur bridge,N1,A,418.000000000001,397.2602773965997
15,Bridge end,N1,A,73.99999999999984,9043.20509204343
19,Box culvert,N1,B,347.999999999999,840.5009896485625
20,Box culvert,N1,A,414.0000000000015,320.9494659662714
21,Box culvert,N1,A,125.99999999999945,9227.062326940815
23,Box culvert,N1,A,428.0000000000008,445.9388982149832
24,Box culvert,N1,A,183.9999999999993,12900.354734091425
26,Bridge start,N1,A,26.000000000001577,3131.6720589554416
27,Bridge end,N1,A,164.99999999999915,7555.856820978973
30,Box culvert,N1,A,851.9999999999985,360.8965177851565
33,Box culvert,N1,B,960.9999999999984,860.99462674613
36,Langalbandhu bridge,N1,B,160.00000000000014,18938.834350271274
37,Bridge end,N1,C,121.99999999999989,43572.546260673575
39,Bridge start,N1,C,21.0000000000008,13130.993496989367
40,Bridge end,N1,C,352.00000000000034,915.5598229010263
41,Bridge start,N1,A,30.000000000001137,7073.359555343102
42,Bridge end,N1,A,289.99999999999915,271.71861222201557
44,Bridge start,N1,B,41.00000000000037,7429.736202302366
45,Bridge end,N1,A,620.000000000001,371.2764623257731
47,Box culvert,N1,C,643.0000000000007,854.5728011587868
48,Box culvert,N1,B,3.0000000000001137,5173.39778574956
51,Bridge start,N1,B,100.00000000000142,16219.350493454896
52,Bridge end,N1,B,82.00000000000074,16529.627618947223
54,Box culvert,N1,A,130.00000000000256,8105.568670781448
56,Bridge start,N1,B,227.999999999998,791.9736920355815
57,Bridge end,N1,B,259.00000000000034,538.4381899601061
58,Bridge start,N1,B,121.99999999999989,15910.716526071072
59,Bridge end,N1,B,255.00000000000256,438.9968801837785
61,Meghna  bridge,N1,A,65.00000000000128,8093.110032516458
63,Bridge end,N1,A,126.00000000000122,7170.835740832132
66,Box culvert,N1,A,673.9999999999995,321.9279821307682
