truck_id,generated_at_step,removed_at_step,total_driving_time
Truck617,85,664,579
Truck611,55,681,626
Truck618,90,697,607
Truck619,95,711,616
Truck631,155,718,563
Truck608,40,731,691
Truck632,160,742,582
Truck625,125,757,632
Truck601,5,758,753
Truck633,165,758,593
Truck627,135,760,625
Truck616,80,796,716
Truck612,60,808,748
Truck643,215,831,616
Truck620,100,834,734
Truck629,145,834,689
Truck603,15,838,823
Truck623,115,845,730
Truck605,25,846,821
Truck607,35,850,815
Truck624,120,853,733
Truck626,130,870,740
Truck621,105,871,766
Truck630,150,874,724
Truck635,175,876,701
Truck645,225,877,652
Truck640,200,879,679
Truck604,20,883,863
Truck628,140,888,748
Truck642,210,891,681
Truck647,235,899,664
Truck609,45,910,865
Truck614,70,911,841
Truck634,170,913,743
Truck602,10,914,904
Truck606,30,914,884
Truck654,270,915,645
Truck600,0,921,921
Truck648,240,926,686
Truck613,65,928,863
Truck639,195,939,744
Truck641,205,961,756
Truck622,110,968,858
Truck664,320,976,656
Truck610,50,977,927
Truck660,300,982,682
Truck615,75,996,921
Truck650,250,996,746
Truck653,265,996,731
Truck661,305,998,693
