truck_id,generated_at_step,removed_at_step,total_driving_time
Truck122414,70,3856,3786
Truck122416,80,3948,3868
Truck122485,425,4052,3627
Truck122456,280,4131,3851
Truck122460,300,4131,3831
Truck122418,90,4147,4057
Truck122402,10,4158,4148
Truck122415,75,4167,4092
Truck122463,315,4173,3858
Truck122448,240,4201,3961
Truck122432,160,4232,4072
Truck122450,250,4248,3998
Truck122439,195,4278,4083
Truck122457,285,4278,3993
Truck122486,430,4290,3860
Truck122498,490,4311,3821
Truck122436,180,4336,4156
Truck122451,255,4336,4081
Truck122473,365,4338,3973
Truck122429,145,4362,4217
Truck122565,825,4378,3553
Truck122477,385,4436,4051
Truck122465,325,4439,4114
Truck122420,100,4443,4343
Truck122440,200,4451,4251
Truck122458,290,4453,4163
Truck122454,270,4468,4198
Truck122400,0,4474,4474
Truck122405,25,4508,4483
Truck122406,30,4517,4487
Truck122423,115,4522,4407
Truck122539,695,4534,3839
Truck122506,530,4545,4015
Truck122532,660,4545,3885
Truck122505,525,4559,4034
Truck122534,670,4565,3895
Truck122422,110,4569,4459
Truck122442,210,4570,4360
Truck122566,830,4571,3741
Truck122438,190,4572,4382
Truck122484,420,4582,4162
Truck122412,60,4605,4545
Truck122445,225,4611,4386
Truck122421,105,4613,4508
Truck122487,435,4617,4182
Truck122426,130,4631,4501
Truck122483,415,4641,4226
Truck122401,5,4642,4637
Truck122476,380,4648,4268
Truck122444,220,4654,4434
Truck122409,45,4659,4614
Truck122424,120,4659,4539
Truck122437,185,4660,4475
Truck122459,295,4663,4368
Truck122478,390,4685,4295
Truck122425,125,4690,4565
Truck122526,630,4694,4064
Truck122427,135,4705,4570
Truck122430,150,4705,4555
Truck122455,275,4712,4437
Truck122481,405,4715,4310
Truck122533,665,4731,4066
Truck122562,810,4744,3934
Truck122419,95,4774,4679
Truck122569,845,4779,3934
Truck122550,750,4792,4042
Truck122509,545,4802,4257
Truck122515,575,4818,4243
Truck122489,445,4848,4403
Truck122441,205,4851,4646
Truck122468,340,4860,4520
Truck122462,310,4862,4552
Truck122494,470,4870,4400
Truck122410,50,4871,4821
Truck122491,455,4871,4416
Truck122431,155,4877,4722
Truck122563,815,4893,4078
Truck122466,330,4901,4571
Truck122482,410,4903,4493
Truck122475,375,4909,4534
Truck122417,85,4947,4862
Truck122469,345,4947,4602
Truck122408,40,4956,4916
Truck122545,725,4974,4249
Truck122590,950,4983,4033
Truck122501,505,4987,4482
Truck122452,260,4997,4737
Truck122435,175,5010,4835
Truck122511,555,5019,4464
Truck122504,520,5020,4500
Truck122480,400,5023,4623
Truck122561,805,5034,4229
Truck122572,860,5037,4177
Truck122495,475,5048,4573
Truck122519,595,5049,4454
Truck122549,745,5053,4308
Truck122464,320,5054,4734
