scenario_id,replication_id,rows,sum_value,mean_value,median_value,metric_group
0,1,1329,737595.0,555.0,555.0,driving_time
0,2,1329,737595.0,555.0,555.0,driving_time
0,3,1329,737595.0,555.0,555.0,driving_time
0,4,1329,737595.0,555.0,555.0,driving_time
0,5,1329,737595.0,555.0,555.0,driving_time
0,6,1329,737595.0,555.0,555.0,driving_time
0,7,1329,737595.0,555.0,555.0,driving_time
0,8,1329,737595.0,555.0,555.0,driving_time
0,9,1329,737595.0,555.0,555.0,driving_time
0,10,1329,737595.0,555.0,555.0,driving_time
1,1,1326,744376.0,561.3695324283559,555.0,driving_time
1,2,1328,747838.0,563.1310240963855,555.0,driving_time
1,3,1328,748733.0,563.8049698795181,555.0,driving_time
1,4,1328,749532.0,564.406626506024,555.0,driving_time
1,5,1328,746031.0,561.7703313253012,555.0,driving_time
1,6,1329,747683.0,562.5906696764484,555.0,driving_time
1,7,1327,748565.0,564.1032403918614,555.0,driving_time
1,8,1328,747859.0,563.1468373493976,555.0,driving_time
1,9,1328,748733.0,563.8049698795181,555.0,driving_time
1,10,1328,749231.0,564.1799698795181,555.0,driving_time
2,1,1326,754022.0,568.6440422322776,558.0,driving_time
2,2,1327,757673.0,570.966842501884,558.0,driving_time
2,3,1327,758925.0,571.9103240391861,557.0,driving_time
2,4,1326,760252.0,573.342383107089,558.0,driving_time
2,5,1328,758381.0,571.0700301204819,557.0,driving_time
2,6,1324,754889.0,570.1578549848942,558.0,driving_time
2,7,1326,756970.0,570.867269984917,558.0,driving_time
2,8,1325,758962.0,572.8015094339622,558.0,driving_time
2,9,1323,756492.0,571.8004535147393,557.0,driving_time
2,10,1326,762865.0,575.3129713423831,558.0,driving_time
3,1,1290,991110.0,768.3023255813954,757.0,driving_time
3,2,1285,1006356.0,783.156420233463,775.0,driving_time
3,3,1275,1007935.0,790.5372549019608,784.0,driving_time
3,4,1282,998311.0,778.7137285491419,767.5,driving_time
3,5,1286,1003461.0,780.296267496112,773.0,driving_time
3,6,1278,1013105.0,792.7269170579029,779.0,driving_time
3,7,1287,1019143.0,791.8749028749029,778.0,driving_time
3,8,1285,996251.0,775.292607003891,764.0,driving_time
3,9,1283,1002943.0,781.7170693686672,770.0,driving_time
3,10,1284,1014875.0,790.4010903426791,778.5,driving_time
4,1,1233,1218282.0,988.0632603406326,975.0,driving_time
4,2,1238,1249093.0,1008.9604200323101,998.0,driving_time
